Symbol,Ticker,Date,Price,Score,Grade,Screen1,Screen2,MACD_H_Score,MACD_Line_Score,EMA_Score,KC_Score,FI_Score,Stoch_Score,Pattern_Score,All_Weekly,Weekly_MACD_H,Weekly_EMA_20,Weekly_EMA_50,Weekly_EMA_100,Daily_FI2,Daily_Stoch_K,Daily_RSI,Pattern,Entry,Stop,Target,CMP,Diff
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,09/12/2025,94.44,7,B,3,4,0,1,2,2,1,1,0,No,-1.0948,98.75,93.94,86.52,-105952,13.8,37.3,None,99.29,95.19,105.44, $94.25 , $-0.19 
CINTAS CORPORATION (XNAS:CTAS),CTAS,09/12/2025,183.66,7,B,4,3,2,2,0,1,1,1,0,No,-1.3566,195.22,199.61,191.61,-832,45.1,49.4,None,186.33,182.38,192.26, $183.15 , $-0.51 
EXELON CORPORATION (XNAS:EXC),EXC,09/12/2025,43.62,7,B,3,4,0,1,2,2,1,1,0,No,-0.2743,45.12,43.69,41.59,-1235,10.8,32,None,44.06,43.1,45.5, $43.76 , $0.14 
"DATADOG, INC. (XNAS:DDOG)",DDOG,09/12/2025,151.44,7,B,3,4,0,1,2,2,1,1,0,No,-0.8859,151.74,139.84,132.93,-11725,4.7,16.1,None,156.27,149.77,166.02, $152.57 , $1.13 
"COPART, INC. (XNAS:CPRT)",CPRT,08/12/2025,38.41,8,B,4,4,2,2,0,2,1,1,0,No,-0.3816,43.73,48.1,50.13,-12962,6.4,14.6,None,39.02,38.1,40.4, $38.44 , $0.03 
"Mondelez International, Inc. (XNAS:MDLZ)",MDLZ,08/12/2025,54.76,8,B,4,4,2,2,0,2,1,1,0,No,-0.6315,59.94,62.86,65.14,-22191,8.3,44.4,None,56.39,54.39,59.39, $54.11 , $-0.65 
"LUCID GROUP, INC. (XNAS:LCID)",LCID,08/12/2025,12.76,8,B,4,4,2,2,0,2,1,1,0,No,-0.6827,18.06,22.06,26.9,-41060,46.4,49,None,14.27,12.67,16.67, $12.45 , $-0.31 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,08/12/2025,39.35,8,B,4,4,2,2,0,2,1,1,0,No,-0.2047,49.77,63.72,73.12,-13270,37.9,45,None,41.05,38.25,45.25, $39.40 , $0.05 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,08/12/2025,96.79,7,B,3,4,0,1,2,2,1,1,0,No,-2.9929,111.37,106.71,93.39,-27399151,7.5,31.4,None,104.89,96.48,117.5, $96.71 , $-0.08 
INTUIT INC. (XNAS:INTU),INTU,08/12/2025,656.24,7,A,6,1,2,2,2,0,1,0,0,Yes,-3.7545,672.92,669.85,655.1,-149371,58.3,53.6,None,677.28,638.26,735.81, $655.75 , $-0.49 
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",AEP,08/12/2025,115.73,7,B,3,4,0,1,2,2,1,1,0,No,-0.0527,115.24,108.99,102.16,-20457,4.4,23,None,118.24,115.08,122.98, $116.07 , $0.34 
Xcel Energy Inc. (XNAS:XEL),XEL,08/12/2025,75.73,7,B,3,4,0,1,2,2,1,1,0,No,-0.4211,77.09,72.9,68.87,-15400,7.1,24.2,None,78.03,75.29,82.14, $75.72 , $-0.01 
CINTAS CORPORATION (XNAS:CTAS),CTAS,08/12/2025,182.98,7,B,4,3,2,2,0,1,1,1,0,No,-1.4,195.15,199.59,191.59,-7844,34,48.1,None,187.17,182.45,194.25, $183.15 , $0.17 
Fastenal Company (XNAS:FAST),FAST,08/12/2025,40.8,7,A,5,2,2,1,2,1,1,0,0,Yes,-0.8159,42.99,42.01,39.62,-14830,57.2,59.5,None,42.02,40.54,44.24, $40.34 , $-0.46 
EXELON CORPORATION (XNAS:EXC),EXC,08/12/2025,43.33,7,B,3,4,0,1,2,2,1,1,0,No,-0.2928,45.09,43.68,41.59,-15739,3.5,28.5,None,44.26,43.1,46, $43.76 , $0.43 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,08/12/2025,218.96,7,B,4,3,2,2,0,1,1,1,0,No,-1.4287,242.12,261.09,262.74,-37770,25.6,49.7,None,223.42,215.71,234.98, $216.03 , $-2.93 
"DOCUSIGN, INC. (XNAS:DOCU)",DOCU,08/12/2025,66.04,7,B,4,3,2,2,0,1,1,1,0,No,-0.6472,71.7,74.23,72.38,-65737,29.5,53.9,None,67.04,63.27,72.7, $69.39 , $3.35 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,05/12/2025,100.24,7,B,3,4,0,1,2,2,1,1,0,No,-2.74,112.91,107.11,93.33,-24030792,14.3,33.8,None,103.9,97.54,113.44, $96.71 , $-3.53 
Xcel Energy Inc. (XNAS:XEL),XEL,05/12/2025,77.18,7,B,3,4,0,1,2,2,1,1,0,No,-0.0802,77.23,72.78,68.73,-11197,3.8,33.2,None,78.47,76.83,80.93, $75.72 , $-1.46 
EXELON CORPORATION (XNAS:EXC),EXC,05/12/2025,43.81,7,B,3,4,0,1,2,2,1,1,0,No,-0.1355,45.28,43.7,41.55,-13094,5.1,36.3,None,44.51,43.54,45.96, $43.76 , $-0.05 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,05/12/2025,221.24,7,B,4,3,2,2,0,1,1,1,0,No,-2.0109,244.55,262.81,263.62,-17469,49.9,59.9,None,226.67,219.94,236.76, $216.03 , $-5.21 
"COINBASE GLOBAL, INC. (XNAS:COIN)",COIN,05/12/2025,269.73,7,A,5,2,2,1,2,1,1,0,0,Yes,-12.3762,305.19,286.65,255.45,-288565,72.7,44.1,None,284.52,252.47,332.59, $277.36 , $7.63 
EBAY INC. (XNAS:EBAY),EBAY,04/12/2025,82.13,8,A,5,3,2,1,2,1,1,1,0,Yes,-1.9816,85.24,78.63,69.42,-1726,43.6,37.2,None,83.86,80.13,89.46, $83.89 , $1.76 
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,04/12/2025,480.84,7,B,3,4,0,1,2,1,1,1,1,No,-7.0488,496.7,473.57,447.42,-793924,33.8,37.4,Hammer,484.72,474.25,500.43, $492.02 , $11.18 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,04/12/2025,103.22,7,B,3,4,0,1,2,2,1,1,0,No,-2.5498,113.19,107.23,93.38,-7075046,10.8,32.6,None,106.98,101.57,115.1, $96.71 , $-6.51 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,04/12/2025,199.98,7,B,4,3,2,2,0,2,0,1,0,No,-4.204,255.1,299.68,323.15,7201,46,42.6,None,201.86,193.63,214.21, $205.13 , $5.15 
Xcel Energy Inc. (XNAS:XEL),XEL,04/12/2025,77.77,7,B,3,4,0,1,2,2,1,1,0,No,-0.0425,77.29,72.81,68.74,-12998,9.1,38.1,None,79.41,77.17,82.77, $75.72 , $-2.05 
CINTAS CORPORATION (XNAS:CTAS),CTAS,04/12/2025,184.03,7,B,4,3,2,2,0,1,1,1,0,No,-1.774,196.17,200.16,191.71,-2142,38.6,39.3,None,185.4,182.91,189.14, $183.15 , $-0.88 
EXELON CORPORATION (XNAS:EXC),EXC,04/12/2025,43.91,7,B,3,4,0,1,2,2,1,1,0,No,-0.1291,45.29,43.7,41.55,-30062,7.9,40.6,None,45.4,43.54,48.19, $43.76 , $-0.15 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,04/12/2025,39.35,7,B,4,3,2,2,0,2,0,1,0,No,-0.3591,50.8,64.68,73.79,15802,25.3,32.2,None,40.12,38.17,43.04, $39.40 , $0.05 
INTUIT INC. (XNAS:INTU),INTU,03/12/2025,647.68,8,A,6,2,2,2,2,1,0,1,0,Yes,-6.0752,672.21,669.39,654.57,204975,44.6,45.8,None,636.38,618.58,663.08, $655.75 , $8.07 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,03/12/2025,199.96,8,B,4,4,2,2,0,2,0,1,1,No,-4.2053,255.1,299.68,323.15,20793,34.7,33.9,Bullish Engulfing,198.5,193.63,205.81, $205.13 , $5.17 
EBAY INC. (XNAS:EBAY),EBAY,03/12/2025,82,8,A,5,3,2,1,2,1,1,1,0,Yes,-1.9899,85.23,78.63,69.41,-8422,25.6,26.3,None,83.24,80.05,88.02, $83.89 , $1.89 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,03/12/2025,38.61,8,B,4,4,2,2,0,2,1,1,0,No,-0.4064,50.73,64.65,73.78,-77259,6.9,24.3,None,40.76,38.48,44.18, $39.40 , $0.79 
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,03/12/2025,477.73,7,B,3,4,0,1,2,2,1,1,0,No,-7.2473,496.41,473.45,447.36,-4109951,26.4,32.1,None,493.99,474.25,523.6, $492.02 , $14.29 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,03/12/2025,103.96,7,B,3,4,0,1,2,2,1,1,0,No,-2.5026,113.26,107.26,93.4,-15356594,13.1,33,None,109.84,102.15,121.38, $96.71 , $-7.25 
Xcel Energy Inc. (XNAS:XEL),XEL,03/12/2025,78.39,7,B,3,4,0,1,2,2,1,1,0,No,-0.003,77.35,72.83,68.76,-13804,16.3,38.2,None,80.08,77.47,84, $75.72 , $-2.67 
"WORKDAY, INC. (XNAS:WDAY)",WDAY,03/12/2025,214.84,7,B,2,5,0,2,0,2,1,1,1,No,-1.4494,230.42,237.55,245.47,-5254,24.6,41.5,Bullish Engulfing,214.44,207.25,225.22, $222.25 , $7.41 
"Mondelez International, Inc. (XNAS:MDLZ)",MDLZ,03/12/2025,56.03,7,B,4,3,2,2,0,1,1,1,0,No,-0.5607,60.59,63.24,65.37,-10168,37.2,43.3,None,56.51,55.27,58.37, $54.11 , $-1.92 
EXELON CORPORATION (XNAS:EXC),EXC,03/12/2025,44.54,7,B,3,4,0,1,2,2,1,1,0,No,-0.0889,45.35,43.73,41.57,-30557,10.8,41.3,None,45.75,44.13,48.18, $43.76 , $-0.78 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,02/12/2025,197.72,8,B,4,4,2,2,0,2,1,1,0,No,-4.3482,254.89,299.59,323.1,-8276,21.9,36.4,None,202.48,193.63,215.75, $205.13 , $7.41 
"LUCID GROUP, INC. (XNAS:LCID)",LCID,02/12/2025,12.88,8,B,4,4,2,2,0,2,1,1,0,No,-0.7596,18.56,22.42,27.18,-5274,26.5,26.2,None,13.27,12.27,14.77, $12.45 , $-0.43 
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,02/12/2025,490,7,A,5,2,2,1,2,1,0,0,1,Yes,-6.4642,497.57,473.93,447.6,350064,51.7,38.8,Bullish Engulfing,490.35,466.91,525.51, $492.02 , $2.02 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,02/12/2025,109.35,7,A,5,2,2,1,2,1,0,1,0,Yes,-2.1586,113.78,107.47,93.51,930424,45,43.2,None,109.45,103.61,118.21, $96.71 , $-12.64 
INTUIT INC. (XNAS:INTU),INTU,02/12/2025,635.63,7,B,4,3,0,2,2,1,0,1,1,No,-6.8442,671.06,668.92,654.33,20524,25.3,42.9,Hammer,636.55,618.58,663.5, $655.75 , $20.12 
"Mondelez International, Inc. (XNAS:MDLZ)",MDLZ,02/12/2025,55.99,7,B,4,3,2,2,0,1,1,1,0,No,-0.5633,60.59,63.24,65.37,-35423,35.7,42.4,None,57.43,55.27,60.67, $54.11 , $-1.88 
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,02/12/2025,99.84,7,A,5,2,2,1,2,0,1,1,0,Yes,-0.7604,99.3,93.96,86.38,-22804,42.9,52.6,None,102.56,99.15,107.67, $94.25 , $-5.59 
CINTAS CORPORATION (XNAS:CTAS),CTAS,02/12/2025,184.19,7,B,4,3,2,2,0,1,1,1,0,No,-1.7638,196.19,200.17,191.71,-3487,37.6,46.1,None,187.24,181.43,195.96, $183.15 , $-1.04 
EXELON CORPORATION (XNAS:EXC),EXC,02/12/2025,45,7,B,3,4,0,1,2,2,1,1,0,No,-0.0595,45.39,43.74,41.57,-39201,5.7,47.3,None,46.62,44.78,49.38, $43.76 , $-1.24 
EBAY INC. (XNAS:EBAY),EBAY,02/12/2025,82.91,7,A,5,2,2,1,2,1,0,1,0,Yes,-1.9318,85.31,78.66,69.43,1795,35.3,31.6,None,83.14,80.05,87.78, $83.89 , $0.98 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,02/12/2025,39.95,7,B,4,3,2,2,0,2,0,1,0,No,-0.3208,50.86,64.71,73.8,13791,23.8,26.8,None,40.23,38.38,43, $39.40 , $-0.55 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,01/12/2025,4891.81,9,A,6,3,2,2,2,1,1,1,0,Yes,-78.5347,5158.37,5052.36,4697.36,-114669,48.2,47.1,None,4957.43,4801.63,5191.13," $5,195.76 ", $303.95 
"CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS)",CDNS,01/12/2025,309.62,8,A,5,3,2,1,2,1,1,1,0,Yes,-6.4064,325.31,314.83,302.75,-16397,45.7,31.2,None,312.27,297.57,334.32, $335.07 , $25.45 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,01/12/2025,196.94,8,B,4,4,2,2,0,2,1,1,0,No,-4.398,254.81,299.56,323.09,-57056,18.3,34.2,None,203.51,195.32,215.79, $205.13 , $8.19 
Fastenal Company (XNAS:FAST),FAST,01/12/2025,40.15,8,A,5,3,2,1,2,1,1,1,0,Yes,-1.0103,43.09,42,39.57,-4022,46.6,37.7,None,40.55,39.3,42.42, $40.34 , $0.19 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,01/12/2025,109.13,7,A,5,2,2,1,2,1,0,1,0,Yes,-2.1726,113.75,107.46,93.5,2063943,43.3,45.6,None,108.05,103.11,115.46, $96.71 , $-12.42 
INTUIT INC. (XNAS:INTU),INTU,01/12/2025,631.62,7,B,4,3,0,2,2,1,1,1,0,No,-7.1002,670.68,668.76,654.25,-75017,18.9,41.6,None,635.56,618.58,661.03, $655.75 , $24.13 
"PALO ALTO NETWORKS, INC. (XNAS:PANW)",PANW,01/12/2025,187.73,7,B,3,4,0,1,2,2,1,1,0,No,-2.3904,197.7,191.16,181.95,-31814,19.2,20.9,None,191.11,180.8,206.58, $195.00 , $7.27 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,01/12/2025,110.54,7,B,4,3,2,2,0,2,1,0,0,No,-1.752,125,133.26,133.87,-25022,51.3,46.7,None,112.34,109.2,117.05, $112.74 , $2.20 
"COPART, INC. (XNAS:CPRT)",CPRT,01/12/2025,39.15,7,B,4,3,2,2,0,2,0,1,0,No,-0.3683,44.33,48.51,50.37,4229,15.7,25.6,None,39.34,38.53,40.56, $38.44 , $-0.71 
EBAY INC. (XNAS:EBAY),EBAY,01/12/2025,82.73,7,A,5,2,2,1,2,1,0,1,0,Yes,-1.9433,85.3,78.66,69.43,391,33.3,41.1,None,83.3,79.78,88.58, $83.89 , $1.16 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,01/12/2025,39.58,7,B,4,3,2,2,0,2,0,1,0,No,-0.3444,50.82,64.69,73.8,3917,18.7,31.1,None,40.05,38.38,42.55, $39.40 , $-0.18 
"COINBASE GLOBAL, INC. (XNAS:COIN)",COIN,01/12/2025,259.84,7,B,3,4,0,1,2,2,1,1,0,No,-13.0074,304.25,286.26,255.25,-1465020,33.4,28.1,None,280.15,244.68,333.35, $277.36 , $17.52 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,28/11/2025,107.58,7,A,5,2,2,1,2,1,0,1,0,Yes,-2.4725,114.24,107.39,93.19,1539823,31.8,45.8,None,107.06,103.11,112.99, $96.71 , $-10.87 
INTUIT INC. (XNAS:INTU),INTU,28/11/2025,634.08,7,B,4,3,0,2,2,1,1,1,0,No,-6.8204,674.79,670.28,654.7,-104939,22.8,44.4,None,652.53,618.58,703.45, $655.75 , $21.67 
"CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS)",CDNS,28/11/2025,311.84,7,A,5,2,2,1,2,1,0,1,0,Yes,-6.5682,326.97,315.04,302.61,55584,46.7,37.6,None,308.49,294.59,329.34, $335.07 , $23.23 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,28/11/2025,200.12,7,B,4,3,2,2,0,2,0,1,0,No,-4.9692,260.9,303.75,325.64,1104,25.5,29.8,None,200.96,193.72,211.82, $205.13 , $5.01 
EBAY INC. (XNAS:EBAY),EBAY,28/11/2025,82.79,7,A,5,2,2,1,2,1,0,1,0,Yes,-2.0235,85.57,78.49,69.16,3752,33.9,46.6,None,83.6,79.78,89.33, $83.89 , $1.10 
"LUCID GROUP, INC. (XNAS:LCID)",LCID,28/11/2025,13.63,7,B,4,3,2,2,0,2,0,1,0,No,-0.7708,19.16,22.81,27.47,8035,34.2,25.9,None,13.52,11.68,16.28, $12.45 , $-1.18 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,26/11/2025,106.14,8,A,5,3,2,1,2,2,0,1,0,Yes,-2.5644,114.1,107.33,93.16,1429326,21,44.4,None,106.41,103.11,111.36, $96.71 , $-9.43 
INTUIT INC. (XNAS:INTU),INTU,26/11/2025,629.13,8,B,4,4,0,2,2,2,1,1,0,No,-7.1363,674.32,670.08,654.61,-425331,14.9,40.6,None,659.13,619.09,719.19, $655.75 , $26.62 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,26/11/2025,199.81,8,B,4,4,2,2,0,2,1,1,0,No,-4.989,260.87,303.73,325.63,-5367,24.4,32.2,None,204.89,192.61,223.31, $205.13 , $5.32 
"PALO ALTO NETWORKS, INC. (XNAS:PANW)",PANW,26/11/2025,185.35,7,B,3,4,0,1,2,2,1,1,0,No,-2.0394,198.3,191.11,181.74,-14267,13.3,22.6,None,186.88,179.69,197.66, $195.00 , $9.65 
EBAY INC. (XNAS:EBAY),EBAY,26/11/2025,82.49,7,A,5,2,2,1,2,1,0,1,0,Yes,-2.0426,85.54,78.48,69.15,5330,30.6,54.6,None,83.19,79.62,88.54, $83.89 , $1.40 
INTUIT INC. (XNAS:INTU),INTU,25/11/2025,648.07,9,A,6,3,2,2,2,1,1,1,0,Yes,-5.9276,676.12,670.83,654.98,-65423,29.9,46.8,None,671.68,636.17,724.94, $655.75 , $7.68 
EBAY INC. (XNAS:EBAY),EBAY,25/11/2025,82.79,8,A,5,3,2,1,2,1,0,1,1,Yes,-2.0235,85.57,78.49,69.16,23986,33.9,55.1,Bullish Engulfing,81.88,79.62,85.27, $83.89 , $1.10 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,25/11/2025,104.4,7,B,3,4,0,1,2,2,1,1,0,No,-2.6755,113.94,107.27,93.12,-2381473,8.1,41.1,None,108.15,103.11,115.71, $96.71 , $-7.69 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,25/11/2025,200.76,7,B,4,3,2,2,0,2,0,1,0,No,-4.9283,260.96,303.77,325.65,11834,23.1,28.6,None,205.02,192.61,223.63, $205.13 , $4.37 
"PALO ALTO NETWORKS, INC. (XNAS:PANW)",PANW,25/11/2025,186.27,7,B,3,4,0,1,2,2,0,1,1,No,-1.9807,198.39,191.15,181.75,12633,15.6,22.2,Bullish Engulfing,186.77,179.69,197.39, $195.00 , $8.73 
Fastenal Company (XNAS:FAST),FAST,25/11/2025,40.09,7,A,5,2,2,1,2,1,0,1,0,Yes,-1.115,43.37,42.07,39.56,8627,38.6,36.3,None,39.95,38.89,41.54, $40.34 , $0.25 
"DOORDASH, INC. (XNAS:DASH)",DASH,25/11/2025,195.49,7,B,3,4,0,1,2,2,0,1,1,No,-10.4324,231.36,214.17,185.09,331992,39,30.8,Bullish Engulfing,190.67,181.68,204.15, $229.99 , $34.50 
"CLOUDFLARE, INC. (XNYS:NET)",NET,25/11/2025,197.49,7,B,3,4,0,1,2,2,0,1,1,No,-5.3408,204.69,174.85,145,62250,25.8,31.2,Hammer,194.35,180.8,214.67, $208.98 , $11.49 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,24/11/2025,106.97,9,A,5,4,2,1,2,2,0,1,1,Yes,-2.5115,114.18,107.37,93.17,4425583,27.2,45.9,Bullish Engulfing,106.64,103.11,111.94, $96.71 , $-10.26 
Fastenal Company (XNAS:FAST),FAST,24/11/2025,39.59,9,A,5,4,2,1,2,2,1,1,0,Yes,-1.1469,43.33,42.05,39.55,-2077,20.6,34.9,None,40.25,38.89,42.29, $40.34 , $0.75 
INTUIT INC. (XNAS:INTU),INTU,24/11/2025,653.23,8,A,6,2,2,2,2,1,0,1,0,Yes,-5.5983,676.61,671.03,655.08,47664,40.5,46.8,None,682.95,646.13,738.18, $655.75 , $2.52 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,24/11/2025,199.08,8,B,4,4,2,2,0,2,1,1,0,No,-5.0356,260.8,303.7,325.62,-16411,18.1,31.7,None,203.45,192.61,219.71, $205.13 , $6.05 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,24/11/2025,109.91,8,B,4,4,2,2,0,2,1,1,0,No,-2.1192,126.35,134.11,134.31,-11789,21.2,34,None,113.06,108.26,120.26, $112.74 , $2.83 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,24/11/2025,250.1,8,B,4,4,2,2,0,2,1,1,0,No,-4.8819,279.12,286.86,279.13,-29742,21.5,32,None,254.71,246.69,266.74, $258.23 , $8.13 
CINTAS CORPORATION (XNAS:CTAS),CTAS,24/11/2025,182.16,8,B,4,4,2,2,0,2,1,1,0,No,-2.3354,197.08,200.67,191.79,-24118,14.5,44.5,None,187.14,180.72,196.77, $183.15 , $0.99 
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,24/11/2025,474,7,B,3,4,0,1,2,2,1,1,0,No,-7.642,496.66,472.57,446.39,-493187,12.8,26.7,None,479.4,467.08,497.88, $492.02 , $18.02 
"PALO ALTO NETWORKS, INC. (XNAS:PANW)",PANW,24/11/2025,183.89,7,B,3,4,0,1,2,2,1,1,0,No,-2.1326,198.16,191.05,181.71,-90078,9.6,17.7,None,186.94,179.69,197.81, $195.00 , $11.11 
"Mondelez International, Inc. (XNAS:MDLZ)",MDLZ,24/11/2025,56.19,7,B,4,3,2,2,0,1,1,1,0,No,-0.6587,60.94,63.48,65.53,-14954,41.6,50.7,None,57.15,54.92,60.49, $54.11 , $-2.08 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,24/11/2025,4875.37,7,A,5,2,2,1,2,1,0,1,0,Yes,-89.0898,5182.68,5057.37,4692.65,2361165,45.8,45.4,None,4804.46,4561.98,5168.18," $5,195.76 ", $320.39 
"DOORDASH, INC. (XNAS:DASH)",DASH,24/11/2025,188.08,7,B,3,4,0,1,2,2,1,1,0,No,-10.9052,230.65,213.88,184.95,-400601,10.1,25.3,None,191.5,181.68,206.23, $229.99 , $41.91 
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,21/11/2025,472.12,7,B,3,4,0,1,2,2,1,1,0,No,-6.4197,499.04,472.51,445.83,-2883440,8.1,24.3,None,494.06,471.19,528.37, $492.02 , $19.90 
NVIDIA CORPORATION (XNAS:NVDA),NVDA,21/11/2025,178.88,7,B,3,4,0,1,2,2,1,1,0,No,-1.166,176.4,155.45,131.4,-5129150,19.2,29.5,None,196.2,177.69,223.96, $184.97 , $6.09 
"TESLA, INC. (XNAS:TSLA)",TSLA,21/11/2025,391.09,7,B,3,4,0,1,2,2,1,1,0,No,-0.4154,389.26,348.21,312.97,-9614063,9.8,26.4,None,429.37,382.99,498.94, $445.26 , $54.17 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,21/11/2025,104.31,7,B,3,4,0,1,2,2,1,1,0,No,-2.6103,114.94,107.38,92.9,-5658935,3.9,39.2,None,111.21,104.6,121.12, $96.71 , $-7.60 
"SYNOPSYS, INC. (XNAS:SNPS)",SNPS,21/11/2025,388.36,7,B,4,3,2,2,0,2,0,1,0,No,-17.2706,473.33,497.08,512.99,48034,20,18,None,405.95,375.43,451.73, $465.85 , $77.49 
"CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS)",CDNS,21/11/2025,300.58,7,B,3,4,0,1,2,2,1,1,0,No,-6.6195,328.56,315.17,302.43,-46260,13.2,16.4,None,317.03,299.41,343.46, $335.07 , $34.49 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,21/11/2025,111.46,7,B,4,3,2,2,0,2,0,1,0,No,-2.2641,128.08,135.1,134.8,43646,38.3,37.7,None,110.1,107.78,113.58, $112.74 , $1.28 
